etiqueta,experiencia_slug,tipo_regla,precio_cop,min_pax,max_pax,origen,orden,activa,supabase_id
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,2cf0d6fc-d21b-4882-8d96-0cd313b010cc
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,a6e75355-d8dc-419c-8d42-1eeadefbea59
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,b116b4a0-5e77-47ff-a687-fa5b0f1d658c
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,28132bca-cc9c-48ac-84f4-99ab39220a8d
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,bf2e2880-a70f-4355-aa27-ae08773eec42
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,bf1a0d28-3b65-472a-8d36-c18ff5c249e1
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,7b92b8e8-aefe-4c96-888c-994529d5a64a
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,a7087e2f-698c-4404-8b7c-4f0cb212bcdf
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,916cc632-e1b9-479b-8914-4fd701af4406
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,95079a0f-6235-4ec4-ab20-6e598d7ce6be
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,8bc9f221-fff5-4eea-a1b8-b5eade831129
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,61aab21e-6f12-4c58-8b4c-ec1043b2ccda
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,d2ce8158-725c-4b8d-8ce5-4db63eed6b1e
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,99d3235c-1db2-4642-b1ea-529bf44ede69
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,f1a0940a-f37b-43c2-87b8-20c724c7e9a5
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,7c484754-f058-4a98-b265-e7a473da9838
